"ann"
"PSAC"	"Encodes the PsaC subunit of photosystem I."
"TBL30"	"Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication)."
"DALL5"	"encodes a triacylglycerol lipase located in plastoglobuli and involved in the degradation of triacylglycerol. It also has impact on leaf senescence and maintaining the structural integrity of thylakoids."
"ATMYO5..ATXIF..XIF"	"Encodes an novel myosin isoform., Encodes an novel myosin isoform., Encodes an novel myosin isoform."
"COR15..COR15A"	"A cold-regulated gene whose product is targeted to the chloroplast. Cor15am  protects stromal proteins from aggregation under various stress conditions. Constitutive expression increases freezing tolerance in protoplasts in vitro and chloroplasts in vivo. NMR and x-ray diffraction studies suggest that COR15a alters the intrinsic curvature of the inner membrane of chloroplast envelope.  Late Embryogenesis abundant protein (LEA)., A cold-regulated gene whose product is targeted to the chloroplast. Cor15am  protects stromal proteins from aggregation under various stress conditions. Constitutive expression increases freezing tolerance in protoplasts in vitro and chloroplasts in vivo. NMR and x-ray diffraction studies suggest that COR15a alters the intrinsic curvature of the inner membrane of chloroplast envelope.  Late Embryogenesis abundant protein (LEA)."
"CRB..CSP41B..HIP1.3"	"Encodes CHLOROPLAST RNA BINDING (CRB), a putative RNA-binding protein.  CRB is important for the proper functioning of the chloroplast.  Mutations in CRB also affects the circadian system, altering the expression of both oscillator and output genes., Encodes CHLOROPLAST RNA BINDING (CRB), a putative RNA-binding protein.  CRB is important for the proper functioning of the chloroplast.  Mutations in CRB also affects the circadian system, altering the expression of both oscillator and output genes., Encodes CHLOROPLAST RNA BINDING (CRB), a putative RNA-binding protein.  CRB is important for the proper functioning of the chloroplast.  Mutations in CRB also affects the circadian system, altering the expression of both oscillator and output genes."
"LAC5"	"putative laccase, a member of laccase family of genes (17 members in Arabidopsis)."
"CYP718"	"member of CYP718"
"MRH6"	"Involved in root hair development"
"CYP79B3"	"Encodes a cytochrome P450. Involved in tryptophan metabolism. Converts Trp to indole-3-acetaldoxime (IAOx), a precursor to IAA and indole glucosinolates."
"AGL22..FAQ1..SVP"	"Encodes a nuclear protein that acts as a floral repressor and that functions within the thermosensory pathway.  SVP represses FT expression via direct binding to the vCArG III motif in the FT promoter., Encodes a nuclear protein that acts as a floral repressor and that functions within the thermosensory pathway.  SVP represses FT expression via direct binding to the vCArG III motif in the FT promoter., Encodes a nuclear protein that acts as a floral repressor and that functions within the thermosensory pathway.  SVP represses FT expression via direct binding to the vCArG III motif in the FT promoter."
"ATERF15..ERF15"	"encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5., encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5."
"ATLUP1..LUP1"	"Lupeol synthase. Converts oxidosqualene to multiple triterpene alcohols and a triterpene diols. This conversion proceeds through the formation of a 17&#946;-dammarenyl cation., Lupeol synthase. Converts oxidosqualene to multiple triterpene alcohols and a triterpene diols. This conversion proceeds through the formation of a 17&#946;-dammarenyl cation."
"ATMYB63..MYB63"	"Member of the R2R3 factor gene family., Member of the R2R3 factor gene family."
"KCS2"	"Encodes KCS2, a member of the 3-ketoacyl-CoA synthase family involved in the biosynthesis of VLCFA (very long chain fatty acids)."
"CPK19"	"member of Calcium Dependent Protein Kinase"
"AtCIPK16..CIPK16..SnRK3.18"	"Encodes a member of the SNF1-related kinase (SnRK) gene family (SnRK3.18), which has also been reported as a member of the CBL-interacting protein kinases (CIPK16)., Encodes a member of the SNF1-related kinase (SnRK) gene family (SnRK3.18), which has also been reported as a member of the CBL-interacting protein kinases (CIPK16)., Encodes a member of the SNF1-related kinase (SnRK) gene family (SnRK3.18), which has also been reported as a member of the CBL-interacting protein kinases (CIPK16)."
"ATGPT2..GPT2"	"glucose6-Phosphate/phosphate transporter 2, glucose6-Phosphate/phosphate transporter 2"
"CYP82F1"	"member of CYP82F"
"RIC2"	"encodes a member of a novel protein family that contains contain a CRIB (for Cdc42/Rac-interactive binding) motif required for their specific interaction with GTP-bound Rop1 (plant-specific Rho GTPase). Interacts with Rop1 and is involved in pollen tube growth and function. Protein most similar to RIC4 (family subgroup V). Gene is expressed in all tissues examined."
"BRL1"	"mutant has Altered vascular cell differentiation; LRR Receptor Kinase"
"PSAG"	"Encodes subunit G of photosystem I, an 11-kDa membrane protein that plays an  important role in electron transport between plastocyanin and PSI and is involved in  the stability of the PSI complex. PSI-G subunit is bound to  PSI-B and is in contact with Lhca1. The protein inserts into thylakoids by  a direct or spontaneous pathway that does not involve the activities of  any known chloroplast protein-targeting machinery. PSI-G appears to be directly or indirectly involved in the interaction between Photosystem I and plastocyanin."
"RCI3..RCI3A"	"Encodes a cold-inducible cationic peroxidase that is involved in the stress response. In response to low temperature, RCI3 transcripts accumulate in the aerial part and in roots of etiolated seedlings but only in roots of light-grown seedlings., Encodes a cold-inducible cationic peroxidase that is involved in the stress response. In response to low temperature, RCI3 transcripts accumulate in the aerial part and in roots of etiolated seedlings but only in roots of light-grown seedlings."
"BDL..IAA12"	"IAA12/BDL plays a role in auxin-mediated processes of apical-basal patterning in the embryo. bdl mutants lack a primary root meristem, IAA12/BDL plays a role in auxin-mediated processes of apical-basal patterning in the embryo. bdl mutants lack a primary root meristem"
"AS2..AS2"	"required for formation of a symmetric flat leaf lamina, encodes a member of a family of proteins characterized by cysteine repeats and a leucine zipper; involved in KNOX gene regulation.   Acts together with ASL1 in proximal-distal symmetry determination. Forms a complex with AS1 that binds to the BP promoter and leads to silencing of BP., Required for formation of a symmetric flat leaf lamina, encodes a member of a family of proteins characterized by cysteine repeats and a leucine zipper; involved in KNOX gene regulation.   Acts together with ASL1 in proximal-distal symmetry determination. Forms a complex with AS1 that binds to the BP promoter and leads to silencing of BP."
"BON3"	"Encodes a copine-like protein, which is a member of a newly identified class of calcium-dependent, phospholipid binding proteins that are present in a wide range of organisms. Overexpression of this gene suppresses bon1-1 phenotypes. Double mutant analyses with bon1-1 suggest that BON1 and BON3 have overlapping functions in maintaining cellular homeostasis and inhibiting cell death."
"ATRBOHB..ATRBOHB.BETA..RBOHB"	"NADPH-oxidase AtrbohB plays a role in seed after-ripening. Major producer of superoxide in germinating seeds. AtrbohB  pre-mRNA is alternatively spliced in seeds in a hormonally and developmentally  regulated manner. ABA caused accumulation of AtrbohB- mRNA and prevented prevented AtrbohB-a mRNA expression in fresh seeds., NADPH-oxidase AtrbohB plays a role in seed after-ripening. Major producer of superoxide in germinating seeds. AtrbohB  pre-mRNA is alternatively spliced in seeds in a hormonally and developmentally  regulated manner. ABA caused accumulation of AtrbohB- mRNA and prevented prevented AtrbohB-a mRNA expression in fresh seeds., NADPH-oxidase AtrbohB plays a role in seed after-ripening. Major producer of superoxide in germinating seeds. AtrbohB  pre-mRNA is alternatively spliced in seeds in a hormonally and developmentally  regulated manner. ABA caused accumulation of AtrbohB- mRNA and prevented prevented AtrbohB-a mRNA expression in fresh seeds."
"LPR1"	"Encodes a protein with multicopper oxidase activity.  Located in ER.  Function together with LPR2 (AT1G71040) and a P5-type ATPase (At5g23630/PDR2) in a common pathway that adjusts root meristem activity to Pi (inorganic phosphate) availability."
"THA1"	"Encodes a threonine aldolase, involved in threonine degradation to glycine. Primarily expressed in seeds and seedlings."
"AtMYB60..MYB60"	"putative transcription factor of the R2R3-MYB gene family. Transcript increases under conditions that promote stomatal opening (white and blue light, abi1-1 mutation) and decreases under conditions that trigger stomatal closure (ABA, desiccation, darkness), with the exception of elevated CO2. Expressed exclusively in guard cells of all tissues. It is required for light-induced opening of stomata. Mutant shows reduced stomatal aperture which helps to limit water loss during drought., putative transcription factor of the R2R3-MYB gene family. Transcript increases under conditions that promote stomatal opening (white and blue light, abi1-1 mutation) and decreases under conditions that trigger stomatal closure (ABA, desiccation, darkness), with the exception of elevated CO2. Expressed exclusively in guard cells of all tissues. It is required for light-induced opening of stomata. Mutant shows reduced stomatal aperture which helps to limit water loss during drought."
"POR..PORC"	"Encodes for a protein with protochlorophyllide oxidoreductase activity. The enzyme is NADPH- and light-dependent., Encodes for a protein with protochlorophyllide oxidoreductase activity. The enzyme is NADPH- and light-dependent."
"ATPIN7..PIN7"	"Encodes a novel component of auxin efflux that is located  apically in the basal cell and is involved during embryogenesis in setting up the apical-basal axis in the embryo.  It is also involved in pattern specification during root development.  In roots, it is expressed at lateral and basal membranes of provascular cells in the meristem and elongation zone, whereas in the columella cells it coincides with the PIN3 domain. Plasma membrane-localized PIN proteins mediate a saturable efflux of auxin. PINs mediate auxin efflux from mammalian and yeast cells without needing additional plant-specific factors. The action of PINs in auxin efflux is distinct from PGPs, rate-limiting, specific  to auxins and sensitive to auxin transport inhibitors. PINs are directly involved of in catalyzing  cellular auxin efflux., Encodes a novel component of auxin efflux that is located  apically in the basal cell and is involved during embryogenesis in setting up the apical-basal axis in the embryo.  It is also involved in pattern specification during root development.  In roots, it is expressed at lateral and basal membranes of provascular cells in the meristem and elongation zone, whereas in the columella cells it coincides with the PIN3 domain. Plasma membrane-localized PIN proteins mediate a saturable efflux of auxin. PINs mediate auxin efflux from mammalian and yeast cells without needing additional plant-specific factors. The action of PINs in auxin efflux is distinct from PGPs, rate-limiting, specific  to auxins and sensitive to auxin transport inhibitors. PINs are directly involved of in catalyzing  cellular auxin efflux."
"AST91..SULTR3.3"	"Encodes AST91 mRNA for sulfate transporter., Encodes AST91 mRNA for sulfate transporter."
"AATL2..ATLHT2..LHT2"	"High-affinity transporter for neutral and acidic amino acids, expressed in tapetum tissue of anthers, High-affinity transporter for neutral and acidic amino acids, expressed in tapetum tissue of anthers, High-affinity transporter for neutral and acidic amino acids, expressed in tapetum tissue of anthers"
"LHCA3"	"PSI type III chlorophyll a/b-binding protein (Lhca3*1)"
"MGP"	"MGP is a nuclear-localized putative transcription factor with three zinc finger domains. MGP can interact with three proteins implicated in root patterning: SCR, SHR, and JKD in Y2H assays, and these interactions depend on the first zinc finger in MGP. MGP appears to be a direct transcriptional target of SHR and SCR, based on promoter binding assays, though it is not expressed in the QC, based on in situ hybridizations."
"AtTPX2..TPX2"	"Homolog of vertebrate TPX2. Protein has three domains involved in nuclear targeting, one in nuclear export and two in microtubule binding. Involved in mitotic spindle assembly during late prophase and early prometaphase., Homolog of vertebrate TPX2. Protein has three domains involved in nuclear targeting, one in nuclear export and two in microtubule binding. Involved in mitotic spindle assembly during late prophase and early prometaphase."
"JP630..PG3"	"Encodes aromatic rich glycoprotein JP630., Encodes aromatic rich glycoprotein JP630."
"ALDH2B..ALDH2B7"	"Encodes a mitochondrial aldehyde dehydrogenase; nuclear gene for mitochondrial product., Encodes a mitochondrial aldehyde dehydrogenase; nuclear gene for mitochondrial product."
"ATIDD15..SGR5"	"May be involved in an early event in shoot gravitropism such as gravity perception and/or a signaling process subsequent to amyloplast sedimentation as a putative transcription factor in gravity-perceptive cells., May be involved in an early event in shoot gravitropism such as gravity perception and/or a signaling process subsequent to amyloplast sedimentation as a putative transcription factor in gravity-perceptive cells."
"DAG2"	"encodes a protein containing Dof zinc finger motifs. expression is limited to vascular system of the mother plant. recessive mutation is inherited as maternal-effect and expression is not detected in the embryo. mutants are defective in seed germination. mutants are more dependent on light and cold treatment and less sensitive to gibberellin during seed germination."
"IRX9"	"The IRX9 gene encodes a putative family 43 glycosyl transferase.  It was coordinately expressed with the cellulose synthase subunits during secondary cell wall formation.  Cell wall analysis revealed a decrease in the abundance of xylan in the irx9 mutant, indicating that IRX9 is required for xylan synthesis. Mutants have irregular xylem phenotype suggesting a role in secondary cell wall biosynthesis."
"LOG3"	"Encodes a protein of unknown function.  It has been crystallized and shown to be structurally almost identical to the protein encoded by At5g11950."
"ATCNGC15..CNGC15"	"member of Cyclic nucleotide gated channel family, member of Cyclic nucleotide gated channel family"
"PIF1..PIL5"	"Encodes a novel Myc-related bHLH transcription factor that has transcriptional activation activity in the dark.  It is a key negative regulator of phytochrome-mediated seed germination and acts by inhibiting chlorophyll biosynthesis, light-mediated suppression of hypocotyl elongation and far-red light-mediated suppression of seed germination, and promoting negative gravitropism in hypocotyls.  Light reduces this activity in a phy-dependent manner.  The protein preferentially interacts with the Pfr forms of Phytochrome A (PhyA) and Phytochrome B (PhyB), is physically associated with APRR1/TOC1 and is degraded in red (R) and far-red (FR) light through the ubiquitin (ub)-26S proteasome pathway to optimize photomorphogenic development in Arabidopsis.  It also negatively regulates GA3 oxidase expression., Encodes a novel Myc-related bHLH transcription factor that has transcriptional activation activity in the dark.  It is a key negative regulator of phytochrome-mediated seed germination and acts by inhibiting chlorophyll biosynthesis, light-mediated suppression of hypocotyl elongation and far-red light-mediated suppression of seed germination, and promoting negative gravitropism in hypocotyls.  Light reduces this activity in a phy-dependent manner.  The protein preferentially interacts with the Pfr forms of Phytochrome A (PhyA) and Phytochrome B (PhyB), is physically associated with APRR1/TOC1 and is degraded in red (R) and far-red (FR) light through the ubiquitin (ub)-26S proteasome pathway to optimize photomorphogenic development in Arabidopsis.  It also negatively regulates GA3 oxidase expression."
"ANAC037..VND1"	"Encodes a NAC-domain transcription factor. Expressed in the vascular tissue., Encodes a NAC-domain transcription factor. Expressed in the vascular tissue."
"PDLP6"	"Encodes a plasmodesmal protein that may be involved in the intercellular movement of molecules through the plasmodesmata. The protein has two DUF26 domains and a single transmembrane domain."
"ATBZIP34..BZIP34"	"Encodes a member of the BZIP family of transcription factors. Forms heterodimers with the related protein AtbZIP61. Binds to G-boxes in vitro and is localized to the nucleus in onion epidermal cells., Encodes a member of the BZIP family of transcription factors. Forms heterodimers with the related protein AtbZIP61. Binds to G-boxes in vitro and is localized to the nucleus in onion epidermal cells."
"ABCC13..ATMRP11..MRP11"	"member of MRP subfamily, member of MRP subfamily, member of MRP subfamily"
"GGPS4"	"Encodes an endoplasmic reticulum-targeted geranylgeranyl pyrophosphate synthase"
"ATMTPB1..MTPB1"	"member of Zinc transporter (ZAT) family, member of Zinc transporter (ZAT) family"
"ATCB5.C..B5..CB5.C..CYTB5.C"	"member of Cytochromes b5, member of Cytochromes b5, member of Cytochromes b5, member of Cytochromes b5"
"BOP2"	"Encodes BOP2, a cytoplasmic and nuclear-localized NPR1 like protein with BTB/POZ domain and ankyrin repeats. Interacts with BOP1 and appears to be genetically redundant with BOP1.bop1/bop2 double mutants have longer leaves, often with leaflets on the petiole, asymmetric flowers with extra organs and no nectaries. Also defective in floral organ abscission.  BOP1/2 promotes floral meristem fate and determinacy in a pathway targetting APETALA1 and AGAMOUS-LIKE24. PUCHI, BOP1 and BOP2 are redundantly required for expression of LFY and AP1."
"ATM10..M10"	"Encodes a hydrophilic protein similar to Late Embryogenesis Activated (LEA) proteins expressed during embryogenesis, which are thought to be involved in the acquisition of dessication tolerance., Encodes a hydrophilic protein similar to Late Embryogenesis Activated (LEA) proteins expressed during embryogenesis, which are thought to be involved in the acquisition of dessication tolerance."
"cdf3..LP2..LTP2"	"Involved in lipid transfer between membranes. Belongs to a family of Lipid transfer proteins. Sequence similarity to other plant/Arabidopsis LPT genes but highest similarity to LPT1. Stress and pathogen-inducible motifs found in the upstream region. Expressed in flower, leaves and siliques but absent in roots. Predicted to be a member of PR-14 pathogenesis-related protein family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15., Involved in lipid transfer between membranes. Belongs to a family of Lipid transfer proteins. Sequence similarity to other plant/Arabidopsis LPT genes but highest similarity to LPT1. Stress and pathogen-inducible motifs found in the upstream region. Expressed in flower, leaves and siliques but absent in roots. Predicted to be a member of PR-14 pathogenesis-related protein family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15., Involved in lipid transfer between membranes. Belongs to a family of Lipid transfer proteins. Sequence similarity to other plant/Arabidopsis LPT genes but highest similarity to LPT1. Stress and pathogen-inducible motifs found in the upstream region. Expressed in flower, leaves and siliques but absent in roots. Predicted to be a member of PR-14 pathogenesis-related protein family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15."
"SSL1"	"Although this enzyme is predicted to encode a strictosidine synthase (SS), it lacks a conserved catalytic glutamate residue found in active SS enzymes and it is not expected to have SS activity."
"ATSPLA2.ALPHA..PLA2.ALPHA"	"Encodes a secretory phospholipase A2 enzyme, which specifically hydrolyzes the sn-2 position of phospholipids. The enzyme has a preference towards linoleoyl acyl chain over palmitoyl acyl chain. It also has a slight preference for phosphatidylcholine over phosphatidylethanolamine., Encodes a secretory phospholipase A2 enzyme, which specifically hydrolyzes the sn-2 position of phospholipids. The enzyme has a preference towards linoleoyl acyl chain over palmitoyl acyl chain. It also has a slight preference for phosphatidylcholine over phosphatidylethanolamine."
"AMS"	"Encodes a basic helix-loop helix transcription factor involved in tapetal cell development. Loss of function mutations are male sterile. AMS binds to a region termed the E box of target gene promoters."
"SGD9..SUVH5"	"Encodes SU(var)3-9 homologue 5 (SUVH5).  SUVH5 has histone methyltransferase (MTase) activity in vitro and contributes to the maintenance of H3 mK9 (methylation of histone H3 at Lys-9) and CMT3-mediated non-CG methylation in vivo. This is a member of a subfamily of SET proteins that shares a conserved SRA domain., Encodes SU(var)3-9 homologue 5 (SUVH5).  SUVH5 has histone methyltransferase (MTase) activity in vitro and contributes to the maintenance of H3 mK9 (methylation of histone H3 at Lys-9) and CMT3-mediated non-CG methylation in vivo. This is a member of a subfamily of SET proteins that shares a conserved SRA domain."
"ATWRKY43..WRKY43"	"member of WRKY Transcription Factor; Group II-c, member of WRKY Transcription Factor; Group II-c"
"GDCH"	"Encodes glycine decarboxylase complex H protein. Involved in photorespiration."
"ATBRXL1..BRXL1"	"Belongs to five-member BRX gene family. Arabidopsis BRX genes share high levels of similarity among each others, with several conserved domains. The most distinct is BRX domain - highly conserved in all BRX genes among distantly related species. This protein-protein interaction domain is required and sufficient for BRX activity., Belongs to five-member BRX gene family. Arabidopsis BRX genes share high levels of similarity among each others, with several conserved domains. The most distinct is BRX domain - highly conserved in all BRX genes among distantly related species. This protein-protein interaction domain is required and sufficient for BRX activity."
"PY..THIC..PY..THIC..PY..THIC"	"Encodes a protein involved in thiamine biosynthesis. The protein is an iron-sulfur cluster protein predicted to catalyze the conversion of 5-aminoimidazole ribonucleotide (AIR) to hydroxymethylpyrimidine phosphate (HMP-P). A severe reduction of THIC levels in plants decreases vitamin B1 (thiamin diphosphate (TPP)) levels and also leads to changes in the levels of numerous other metabolites since so many primary metabolic enzymes require a TPP co-factor. thiC mutants are chlorotic and arrest in their development at the cotyledon stage. A N-terminal targeting sequence directs the THIC protein to the chloroplast stroma. The THIC transcript is regulated by a TPP riboswitch in the 3' UTR. THIC transcripts are observed in seedlings 5 or more days after germination, and light promotes the expression of this gene., Encodes a protein involved in thiamine biosynthesis. The protein is an iron-sulfur cluster protein predicted to catalyze the conversion of 5-aminoimidazole ribonucleotide (AIR) to hydroxymethylpyrimidine phosphate (HMP-P). A severe reduction of THIC levels in plants decreases vitamin B1 (thiamin diphosphate (TPP)) levels and also leads to changes in the levels of numerous other metabolites since so many primary metabolic enzymes require a TPP co-factor. thiC mutants are chlorotic and arrest in their development at the cotyledon stage. A N-terminal targeting sequence directs the THIC protein to the chloroplast stroma. The THIC transcript is regulated by a TPP riboswitch in the 3' UTR. THIC transcripts are observed in seedlings 5 or more days after germination, and light promotes the expression of this gene., Encodes a protein involved in thiamin biosynthesis. The protein is an iron-sulfur cluster protein predicted to catalyze the conversion of 5-aminoimidazole ribonucleotide (AIR) to hydroxymethylpyrimidine (HMP) or  hydroxymethylpyrimidine phosphate (HMP-P). A severe reduction of THIC levels in plants decreases vitamin B1 (thiamin diphosphate (TPP)) levels and also leads to changes in the levels of numerous other metabolites since so many primary metabolic enzymes require a TPP co-factor. thiC mutants are chlorotic and arrest in their development at the cotyledon stage. A N-terminal targeting sequence directs the THIC protein to the chloroplast stroma. A conserved TPP-binding site is located in the 3' UTR of the At2g29630.2 gene model, and is predicted to function as a riboswitch. The riboswitch controls the  formation of transcripts with alternative 3' UTR lengths, which affect mRNA accumulation and protein production. THIC transcripts are observed in seedlings 5 or more days after germination, and light promotes the expression of this gene.  Recessive mutant isolated by Redei. Leaves but not cotyledons white, lethal; restored to normal by thiamine or 2,5-dimethyl-4-aminopyrimidine., Encodes a protein involved in thiamin biosynthesis. The protein is an iron-sulfur cluster protein predicted to catalyze the conversion of 5-aminoimidazole ribonucleotide (AIR) to hydroxymethylpyrimidine (HMP) or  hydroxymethylpyrimidine phosphate (HMP-P). A severe reduction of THIC levels in plants decreases vitamin B1 (thiamin diphosphate (TPP)) levels and also leads to changes in the levels of numerous other metabolites since so many primary metabolic enzymes require a TPP co-factor. thiC mutants are chlorotic and arrest in their development at the cotyledon stage. A N-terminal targeting sequence directs the THIC protein to the chloroplast stroma. A conserved TPP-binding site is located in the 3' UTR of the At2g29630.2 gene model, and is predicted to function as a riboswitch. The riboswitch controls the  formation of transcripts with alternative 3' UTR lengths, which affect mRNA accumulation and protein production. THIC transcripts are observed in seedlings 5 or more days after germination, and light promotes the expression of this gene.  Recessive mutant isolated by Redei. Leaves but not cotyledons white, lethal; restored to normal by thiamine or 2,5-dimethyl-4-aminopyrimidine."
"ATNADP.ME1..NADP.ME1"	"The malic enzyme (EC 1.1.1.40) encoded by AtNADP-ME1 is expressed in response to developmental and cell-specific signals. The enzyme is active in vitro and appears to function as a homohexamer or homooctamer. It is believed to be a cytosolic protein., The malic enzyme (EC 1.1.1.40) encoded by AtNADP-ME1 is expressed in response to developmental and cell-specific signals. The enzyme is active in vitro and appears to function as a homohexamer or homooctamer. It is believed to be a cytosolic protein."
"PKS1"	"Encodes a basic soluble protein which can independently bind to either PHYA or PHYB, regardless of whether the phytochromes are in the Pr or Pfr state.  PKS1 can be phosphorylated by oat phyA in vitro in a light regulated manner.  It is postulated to be a negative regulator of phyB signalling."
"AtPPa3..PPa3"	"Encodes a protein that might have inorganic pyrophosphatase activity., Encodes a protein that might have inorganic pyrophosphatase activity."
"ATHB.4..ATHB4..HB4"	"Encodes a homeodomain protein whose expression  displays a dependence on phyB for both red and far-red light response.  Also involved in the shade avoidance syndrome., Encodes a homeodomain protein whose expression  displays a dependence on phyB for both red and far-red light response.  Also involved in the shade avoidance syndrome., Encodes a homeodomain protein whose expression  displays a dependence on phyB for both red and far-red light response.  Also involved in the shade avoidance syndrome."
"PYL2..RCAR14"	"Encodes a member of the PYR (pyrabactin resistance  )/PYL(PYR1-like)/RCAR (regulatory components of ABA receptor) family proteins with 14 members.  PYR/PYL/RCAR family proteins function as abscisic acid sensors. Mediate ABA-dependent regulation of protein phosphatase 2Cs ABI1 and ABI2., Encodes a member of the PYR (pyrabactin resistance  )/PYL(PYR1-like)/RCAR (regulatory components of ABA receptor) family proteins with 14 members.  PYR/PYL/RCAR family proteins function as abscisic acid sensors. Mediate ABA-dependent regulation of protein phosphatase 2Cs ABI1 and ABI2."
"CYP86A8..LCR"	"Encodes a member of the CYP86A subfamily of cytochrome p450 genes. Expressed at moderate levels in flowers, leaves, roots and stems., Encodes a member of the CYP86A subfamily of cytochrome p450 genes. Expressed at moderate levels in flowers, leaves, roots and stems."
"CYP710A2"	"Encodes a protein with C22-sterol desaturase activity. The enzyme was shown to catalyze the conversion of both 24-<i>epi</i>-campesterol and &beta;-sitosterol to brassicasterol and stigmasterol, respectively, in the presence of NADPH."
"TBL34"	"Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication)."
"ATWL2..CIPK13..SnRK3.7..WL2"	"Encodes CBL-interacting protein kinase 13 (CIPK13)., Encodes CBL-interacting protein kinase 13 (CIPK13)., Encodes CBL-interacting protein kinase 13 (CIPK13)., Encodes CBL-interacting protein kinase 13 (CIPK13)."
"ATMES7..MES7"	"Encodes a protein shown to have carboxylesterase activity, methyl salicylate esterase activity, and methyl IAA esterase activity in vitro. This protein does not act on methyl JA, MeGA4, or MEGA9 in vitro. MES7 appears to be involved in MeSA hydrolysis in planta. Expression of MES7 can restore systemic acquired resistance in SAR-deficient tobacco plants., Encodes a protein shown to have carboxylesterase activity, methyl salicylate esterase activity, and methyl IAA esterase activity in vitro. This protein does not act on methyl JA, MeGA4, or MEGA9 in vitro. MES7 appears to be involved in MeSA hydrolysis in planta. Expression of MES7 can restore systemic acquired resistance in SAR-deficient tobacco plants."
"ATMES1..MES1"	"Encodes a protein shown to have carboxylesterase activity, methyl salicylate esterase activity, methyl jasmonate esterase activity, and methyl IAA esterase activity in vitro. MES1 appears to be involved in MeSA hydrolysis in planta. Expression of MES1 can restore systemic acquired resistance in SAR-deficient tobacco plants. This protein does not act on MeGA4, or MEGA9 in vitro., Encodes a protein shown to have carboxylesterase activity, methyl salicylate esterase activity, methyl jasmonate esterase activity, and methyl IAA esterase activity in vitro. MES1 appears to be involved in MeSA hydrolysis in planta. Expression of MES1 can restore systemic acquired resistance in SAR-deficient tobacco plants. This protein does not act on MeGA4, or MEGA9 in vitro."
"ACPT..AtcPT3..CPT..cPT3"	"encodes cis-prenyltransferase, encodes cis-prenyltransferase, encodes cis-prenyltransferase, encodes cis-prenyltransferase"
"ATGPAT6..GPAT6"	"Encodes a protein with glycerol-3-phosphate acyltransferase activity., Encodes a protein with glycerol-3-phosphate acyltransferase activity."
"SNRK2.9..SNRK2.9"	"encodes a member of SNF1-related protein kinases (SnRK2), encodes a member of SNF1-related protein kinases (SnRK2)"
"SCPL8..SNG1"	"sinapoylglucose:malate sinapoyltransferase. Catalyzes the formation of sinapoylmalate from sinapoylglucose. Mutants accumulate excess sinapoylglucose., sinapoylglucose:malate sinapoyltransferase. Catalyzes the formation of sinapoylmalate from sinapoylglucose. Mutants accumulate excess sinapoylglucose."
"ATHB21..HB21..ZFHD4..ZHD3"	"Zinc finger homeobox protein. Expressed in vascular tissue.  In a yeast one hybrid system was not able to transactivate a reporter gene., Zinc finger homeobox protein. Expressed in vascular tissue.  In a yeast one hybrid system was not able to transactivate a reporter gene., Zinc finger homeobox protein. Expressed in vascular tissue.  In a yeast one hybrid system was not able to transactivate a reporter gene., Zinc finger homeobox protein. Expressed in vascular tissue.  In a yeast one hybrid system was not able to transactivate a reporter gene."
